datetime,seat,variable,value
2022-01-27 15:46:29.482288,Mackellar (NSW),Green,34.00
2022-01-27 15:46:29.482288,Macquarie (NSW),Green,34.00
2022-01-27 15:46:29.482288,McMahon (NSW),Green,34.00
2022-01-27 15:46:29.482288,Mitchell (NSW),Green,34.00
2022-01-27 15:46:29.482288,New England (NSW),Green,51.00
2022-01-27 15:46:29.482288,Newcastle (NSW),Green,34.00
2022-01-27 15:46:29.482288,North Sydney (NSW),Green,34.00
2022-01-27 15:46:29.482288,Page (NSW),Green,34.00
2022-01-27 15:46:29.482288,Parkes (NSW),Green,34.00
2022-01-27 15:46:29.482288,Parramatta (NSW),Green,34.00
2022-01-27 15:46:29.482288,Paterson (NSW),Green,34.00
2022-01-27 15:46:29.482288,Reid (NSW),Green,34.00
2022-01-27 15:46:29.482288,Richmond (NSW),Green,34.00
2022-01-27 15:46:29.482288,Riverina (NSW),Green,34.00
2022-01-27 15:46:29.482288,Robertson (NSW),Green,34.00
2022-01-27 15:46:29.482288,Shortland (NSW),Green,34.00
2022-01-27 15:46:29.482288,Sydney (NSW),Green,21.00
2022-01-27 15:46:29.482288,Warringah (NSW),Green,51.00
2022-01-27 15:46:29.482288,Watson (NSW),Green,34.00
2022-01-27 15:46:29.482288,Wentworth (NSW),Green,15.00
2022-01-27 15:46:29.482288,Werriwa (NSW),Green,34.00
2022-01-27 15:46:29.482288,Whitlam (NSW),Green,34.00
2022-01-27 15:46:29.482288,Calare (NSW),Green,51.00
2022-01-27 15:46:29.482288,Aston (VIC),Green,34.00
2022-01-27 15:46:29.482288,Ballarat (VIC),Green,34.00
2022-01-27 15:46:29.482288,Bendigo (VIC),Green,34.00
2022-01-27 15:46:29.482288,Bruce (VIC),Green,34.00
2022-01-27 15:46:29.482288,Calwell (VIC),Green,34.00
2022-01-27 15:46:29.482288,Casey (VIC),Green,34.00
2022-01-27 15:46:29.482288,Chisholm (VIC),Green,34.00
2022-01-27 15:46:29.482288,Cooper (VIC),Green,6.00
2022-01-27 15:46:29.482288,Corangamite (VIC),Green,34.00
2022-01-27 15:46:29.482288,Corio (VIC),Green,34.00
2022-01-27 15:46:29.482288,Deakin (VIC),Green,34.00
2022-01-27 15:46:29.482288,Dunkley (VIC),Green,34.00
2022-01-27 15:46:29.482288,Flinders (VIC),Green,51.00
2022-01-27 15:46:29.482288,Fraser (VIC),Green,34.00
2022-01-27 15:46:29.482288,Gellibrand (VIC),Green,34.00
2022-01-27 15:46:29.482288,Gippsland (VIC),Green,34.00
2022-01-27 15:46:29.482288,Goldstein (VIC),Green,15.00
2022-01-27 15:46:29.482288,Gorton (VIC),Green,34.00
2022-01-27 15:46:29.482288,Hawke (VIC),Green,21.00
2022-01-27 15:46:29.482288,Higgins (VIC),Green,3.75
2022-01-27 15:46:29.482288,Holt (VIC),Green,34.00
2022-01-27 15:46:29.482288,Hotham (VIC),Green,34.00
2022-01-27 15:46:29.482288,Indi (VIC),Green,51.00
2022-01-27 15:46:29.482288,Isaacs (VIC),Green,34.00
2022-01-27 15:46:29.482288,Jagajaga (VIC),Green,34.00
2022-01-27 15:46:29.482288,Kooyong (VIC),Green,7.50
2022-01-27 15:46:29.482288,La Trobe (VIC),Green,34.00
2022-01-27 15:46:29.482288,Lalor (VIC),Green,34.00
2022-01-27 15:46:29.482288,Macnamara (VIC),Green,5.10
2022-01-27 15:46:29.482288,Mallee (VIC),Green,51.00
2022-01-27 15:46:29.482288,Maribyrnong (VIC),Green,34.00
2022-01-27 15:46:29.482288,McEwen (VIC),Green,34.00
2022-01-27 15:46:29.482288,Melbourne (VIC),Green,1.01
2022-01-27 15:46:29.482288,Menzies (VIC),Green,51.00
2022-01-27 15:46:29.482288,Monash (VIC),Green,51.00
2022-01-27 15:46:29.482288,Nicholls (VIC),Green,51.00
2022-01-27 15:46:29.482288,Scullin (VIC),Green,34.00
2022-01-27 15:46:29.482288,Wannon (VIC),Green,34.00
2022-01-27 15:46:29.482288,Wills (VIC),Green,8.00
2022-01-27 15:46:29.482288,Blair (QLD),Green,34.00
2022-01-27 15:46:29.482288,Bowman (QLD),Green,34.00
2022-01-27 15:46:29.482288,Bonner (QLD),Green,34.00
2022-01-27 15:46:29.482288,Brisbane (QLD),Green,6.50
2022-01-27 15:46:29.482288,Capriconia (QLD),Green,51.00
2022-01-27 15:46:29.482288,Dawson (QLD),Green,34.00
2022-01-27 15:46:29.482288,Dickson (QLD),Green,34.00
2022-01-27 15:46:29.482288,Fadden (QLD),Green,34.00
2022-01-27 15:46:29.482288,Fairfax (QLD),Green,34.00
2022-01-27 15:46:29.482288,Fisher (QLD),Green,34.00
2022-01-27 15:46:29.482288,Flynn (QLD),Green,34.00
2022-01-27 15:46:29.482288,Forde (QLD),Green,34.00
2022-01-27 15:46:29.482288,Griffith (QLD),Green,4.50
2022-01-27 15:46:29.482288,Groom (QLD),Green,34.00
2022-01-27 15:46:29.482288,Herbert (QLD),Green,51.00
2022-01-27 15:46:29.482288,Hinkler (QLD),Green,34.00
2022-01-27 15:46:29.482288,Kennedy (QLD),Green,91.00
2022-01-27 15:46:29.482288,Leichhardt (QLD),Green,34.00
2022-01-27 15:46:29.482288,Lilley (QLD),Green,51.00
2022-01-27 15:46:29.482288,Longman (QLD),Green,34.00
2022-01-27 15:46:29.482288,Maranoa (QLD),Green,34.00
2022-01-27 15:46:29.482288,McPherson (QLD),Green,34.00
